run_no,best_fitness,genotype_hash,timestamp
14,2928.2957,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,80
14,2927.9773,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,85
14,2927.5881,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,90
14,2927.4456,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,95
14,2927.347,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,100
14,2927.2485,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,110
14,2927.0837,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,115
14,2926.9783,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,120
14,2926.818,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,125
14,2926.7822,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,130
14,2926.6875,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,135
14,2926.6008,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,140
14,2926.5032,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,150
14,2926.4956,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,155
14,2926.4907,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,165
14,2926.45,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,170
14,2926.221,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,175
14,2926.1377,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,180
14,2926.0005,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,185
14,2925.9675,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,190
14,2925.948,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,195
14,2925.9434,0*0*0*0*1*1*1*1*0*1*0*0*1*0*0*1*1*0*1*0,200
