 Time_Seconds Best_Fitness
3004 15025.0 105887
3008 15045.0 105887
3012 15065.0 105887
3016 15085.0 105887
3020 15105.0 105887
3024 15125.0 105887
3028 15145.0 105887
3032 15165.0 105887
3036 15185.0 105887
3040 15205.0 105887
3044 15225.0 105887
3048 15245.0 105887
3052 15265.0 105887
3056 15285.0 105887
3060 15305.0 105887
3064 15325.0 105887
3068 15345.0 105887
3072 15365.0 105887
3076 15385.0 105887
3080 15405.0 105887
3084 15425.0 105887
3088 15445.0 105887
3092 15465.0 105887
3096 15485.0 105887
3100 15505.0 105887
3104 15525.0 105887
3108 15545.0 105887
3112 15565.0 105887
3116 15585.0 105887
3120 15605.0 105887
3124 15625.0 105887
3128 15645.0 105887
3132 15665.0 105887
3136 15685.0 105806
3140 15705.0 105777
3144 15725.0 105777
3148 15745.0 105777
3152 15765.0 105777
3156 15785.0 105777
3160 15805.0 105777
3164 15825.0 105777
3168 15845.0 105696
3172 15865.0 105696
3176 15885.0 105696
3180 15905.0 105696
3184 15925.0 105696
3188 15945.0 105696
3192 15965.0 105696
3196 15985.0 105696
3200 16005.0 105696
3204 16025.0 105696
3208 16045.0 105696
3212 16065.0 105696
3216 16085.0 105696
3220 16105.0 105696
3224 16125.0 105696
3228 16145.0 105696
3232 16165.0 105696
3236 16185.0 105696
3240 16205.0 105696
3244 16225.0 105696
3248 16245.0 105696
3252 16265.0 105696
3256 16285.0 105696
3260 16305.0 105696
3264 16325.0 105578
3268 16345.0 105578
3272 16365.0 105578
3276 16385.0 105578
3280 16405.0 105578
3284 16425.0 105578
3288 16445.0 105403
3292 16465.0 105259
3296 16485.0 105259
3300 16505.0 105259
3304 16525.0 105214
3308 16545.0 105214
3312 16565.0 105214
3316 16585.0 105214
3320 16605.0 104747
3324 16625.0 104643
3328 16645.0 104635
3332 16665.0 104615
3336 16685.0 104615
3340 16705.0 104615
3344 16725.0 104615
3348 16745.0 104615
3352 16765.0 104615
3356 16785.0 104564
3360 16805.0 104411
3364 16825.0 104411
3368 16845.0 104382
3372 16865.0 104322
3376 16885.0 104322
3380 16905.0 104322
3384 16925.0 104322
3388 16945.0 104322
3392 16965.0 104110
3396 16985.0 104087
3400 17005.0 104087
3404 17025.0 104087
3408 17045.0 104087
3412 17065.0 104087
3416 17085.0 104087
3420 17105.0 104087
3424 17125.0 104087
3428 17145.0 104009
3432 17165.0 103942
3436 17185.0 103888
3440 17205.0 103888
3444 17225.0 103888
3448 17245.0 103888
3452 17265.0 103888
3456 17285.0 103888
3460 17305.0 103888
3464 17325.0 103707
3468 17345.0 103707
3472 17365.0 103707
3476 17385.0 103707
3480 17405.0 103707
3484 17425.0 103707
3488 17445.0 103707
3492 17465.0 103368
3496 17485.0 103368
3500 17505.0 103368
3504 17525.0 103368
3508 17545.0 103342
3512 17565.0 103096
3516 17585.0 103096
3520 17605.0 103096
3524 17625.0 103096
3528 17645.0 103096
3532 17665.0 103096
3536 17685.0 103096
3540 17705.0 103096
3544 17725.0 103096
3548 17745.0 102726
3552 17765.0 102475
3556 17785.0 102278
3560 17805.0 102246
3564 17825.0 102246
3568 17845.0 102246
3572 17865.0 102246
3576 17885.0 102246
3580 17905.0 102246
3584 17925.0 102246
3588 17945.0 102154
3592 17965.0 102106
3596 17985.0 102106
3600 18005.0 102106
3604 18025.0 102106
3608 18045.0 102106
3612 18065.0 102106
3616 18085.0 102106
3620 18105.0 102106
3624 18125.0 102106
3628 18145.0 102058
3632 18165.0 102002
3636 18185.0 102002
3640 18205.0 102002
3644 18225.0 102002
3648 18245.0 102002
3652 18265.0 102002
3656 18285.0 102001
3660 18305.0 101943
3664 18325.0 101880
3668 18345.0 101880
3672 18365.0 101880
3676 18385.0 101880
3680 18405.0 101880
3684 18425.0 101880
3688 18445.0 101880
3692 18465.0 101880
3696 18485.0 101816
3700 18505.0 101779
3704 18525.0 101779
3708 18545.0 101779
3712 18565.0 101779
3716 18585.0 101779
3720 18605.0 101779
3724 18625.0 101779
3728 18645.0 101779
3732 18665.0 101779
3736 18685.0 101779
3740 18705.0 101777
3744 18725.0 101777
3748 18745.0 101777
3752 18765.0 101777
3756 18785.0 101777
3760 18805.0 101777
3764 18825.0 101777
3768 18845.0 101777
3772 18865.0 101777
3776 18885.0 101777
3780 18905.0 101777
3784 18925.0 101777
3788 18945.0 101777
3792 18965.0 101777
3796 18985.0 101777
3800 19005.0 101777
3804 19025.0 101777
3808 19045.0 101777
3812 19065.0 101777
3816 19085.0 101777
3820 19105.0 101777
3824 19125.0 101777
3828 19145.0 101777
3832 19165.0 101777
3836 19185.0 101777
3840 19205.0 101777
3844 19225.0 101777
3848 19245.0 101777
3852 19265.0 101777
3856 19285.0 101777
3860 19305.0 101777
3864 19325.0 101777
3868 19345.0 101777
3872 19365.0 101777
3876 19385.0 101777
3880 19405.0 101777
3884 19425.0 101777
3888 19445.0 101777
3892 19465.0 101777
3896 19485.0 101777
3900 19505.0 101777
3904 19525.0 101777
3908 19545.0 101777
3912 19565.0 101777
3916 19585.0 101777
3920 19605.0 101777
3924 19625.0 101777
3928 19645.0 101777
3932 19665.0 101777
3936 19685.0 101777
3940 19705.0 101777
3944 19725.0 101777
3948 19745.0 101777
3952 19765.0 101777
3956 19785.0 101777
3960 19805.0 101777
3964 19825.0 101777
3968 19845.0 101777
3972 19865.0 101777
3976 19885.0 101777
3980 19905.0 101777
3984 19925.0 101777
3988 19945.0 101773
3992 19965.0 101773
3996 19985.0 101773
4000 20005.0 101773
4004 20025.0 101773
4008 20045.0 101691
4012 20065.0 101691
4016 20085.0 101691
4020 20105.0 101691
4024 20125.0 101691
4028 20145.0 101691
4032 20165.0 101655
4036 20185.0 101655
4040 20205.0 101655
4044 20225.0 101655
4048 20245.0 101655
4052 20265.0 101651
4056 20285.0 101651
4060 20305.0 101651
4064 20325.0 101636
4068 20345.0 101636
4072 20365.0 101636
4076 20385.0 101636
4080 20405.0 101636
4084 20425.0 101567
4088 20445.0 101529
4092 20465.0 101413
4096 20485.0 101413
4100 20505.0 101413
4104 20525.0 101413
4108 20545.0 101413
4112 20565.0 101413
4116 20585.0 101413
4120 20605.0 101299
4124 20625.0 101147
4128 20645.0 101147
4132 20665.0 101142
4136 20685.0 101142
4140 20705.0 101142
4144 20725.0 101142
4148 20745.0 100988
4152 20765.0 100988
4156 20785.0 100979
4160 20805.0 100979
4164 20825.0 100979
4168 20845.0 100929
4172 20865.0 100915
4176 20885.0 100915
4180 20905.0 100915
4184 20925.0 100908
4188 20945.0 100905
4192 20965.0 100903
4196 20985.0 100903
4200 21005.0 100903
4204 21025.0 100903
4208 21045.0 100868
4212 21065.0 100868
4216 21085.0 100868
4220 21105.0 100868
4224 21125.0 100868
4228 21145.0 100868
4232 21165.0 100868
4236 21185.0 100856
4240 21205.0 100853
4244 21225.0 100853
4248 21245.0 100853
4252 21265.0 100853
4256 21285.0 100853
4260 21305.0 100853
4264 21325.0 100664
4268 21345.0 100664
4272 21365.0 100664
4276 21385.0 100664
4280 21405.0 100664
4284 21425.0 100664
4288 21445.0 100324
4292 21465.0 100264
4296 21485.0 100264
4300 21505.0 100264
4304 21525.0 100264
4308 21545.0 100264
4312 21565.0 100264
4316 21585.0 100264
4320 21605.0 100264
4324 21625.0 100264
4328 21645.0 100180
