 Time_Seconds Best_Fitness
2428 12145.0 43714.0
2432 12165.0 43714.0
2436 12185.0 43714.0
2440 12205.0 43714.0
2444 12225.0 43714.0
2448 12245.0 43714.0
2452 12265.0 43714.0
2456 12285.0 43714.0
2460 12305.0 43714.0
2464 12325.0 43714.0
2468 12345.0 43714.0
2472 12365.0 43714.0
2476 12385.0 43714.0
2480 12405.0 43714.0
2484 12425.0 43714.0
2488 12445.0 43714.0
2492 12465.0 43714.0
2496 12485.0 43714.0
2500 12505.0 43714.0
2504 12525.0 43714.0
2508 12545.0 43714.0
2512 12565.0 43714.0
2516 12585.0 43714.0
2520 12605.0 43714.0
2524 12625.0 43714.0
2528 12645.0 43714.0
2532 12665.0 43714.0
2536 12685.0 43714.0
2540 12705.0 43714.0
2544 12725.0 43714.0
2548 12745.0 43714.0
2552 12765.0 43714.0
2556 12785.0 43714.0
2560 12805.0 43714.0
2564 12825.0 43714.0
2568 12845.0 43714.0
2572 12865.0 43714.0
2576 12885.0 43714.0
2580 12905.0 43714.0
2584 12925.0 43714.0
2588 12945.0 43714.0
2592 12965.0 43714.0
2596 12985.0 43714.0
2600 13005.0 43714.0
2604 13025.0 43714.0
2608 13045.0 43714.0
2612 13065.0 43714.0
2616 13085.0 43714.0
2620 13105.0 43714.0
2624 13125.0 43714.0
2628 13145.0 43714.0
2632 13165.0 43714.0
2636 13185.0 43714.0
2640 13205.0 43714.0
2644 13225.0 43714.0
2648 13245.0 43714.0
2652 13265.0 43714.0
2656 13285.0 43714.0
2660 13305.0 43714.0
2664 13325.0 43714.0
2668 13345.0 43714.0
2672 13365.0 43714.0
2676 13385.0 43714.0
2680 13405.0 43714.0
2684 13425.0 43714.0
2688 13445.0 43714.0
2692 13465.0 43714.0
2696 13485.0 43714.0
2700 13505.0 43714.0
2704 13525.0 43714.0
2708 13545.0 43714.0
2712 13565.0 43714.0
2716 13585.0 43714.0
2720 13605.0 43714.0
2724 13625.0 43714.0
2728 13645.0 43714.0
2732 13665.0 43714.0
2736 13685.0 43714.0
2740 13705.0 43714.0
2744 13725.0 43714.0
2748 13745.0 43714.0
2752 13765.0 43714.0
2756 13785.0 43714.0
2760 13805.0 43714.0
2764 13825.0 43714.0
2768 13845.0 43714.0
2772 13865.0 43714.0
2776 13885.0 43714.0
2780 13905.0 43714.0
2784 13925.0 43714.0
2788 13945.0 43714.0
2792 13965.0 43714.0
2796 13985.0 43714.0
2800 14005.0 43714.0
2804 14025.0 43714.0
2808 14045.0 43714.0
2812 14065.0 43714.0
2816 14085.0 43714.0
2820 14105.0 43714.0
2824 14125.0 43714.0
2828 14145.0 43714.0
2832 14165.0 43714.0
2836 14185.0 43714.0
2840 14205.0 43714.0
2844 14225.0 43714.0
2848 14245.0 43714.0
2852 14265.0 43714.0
2856 14285.0 43714.0
2860 14305.0 43714.0
2864 14325.0 43714.0
2868 14345.0 43714.0
2872 14365.0 43714.0
2876 14385.0 43714.0
2880 14405.0 43714.0
2884 14425.0 43714.0
2888 14445.0 43714.0
2892 14465.0 43714.0
2896 14485.0 43714.0
2900 14505.0 43714.0
2904 14525.0 43714.0
2908 14545.0 43714.0
2912 14565.0 43714.0
2916 14585.0 43714.0
2920 14605.0 43714.0
2924 14625.0 43714.0
2928 14645.0 43714.0
2932 14665.0 43714.0
2936 14685.0 43714.0
